Race Number,Track,Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts,Track Type
1,Daytona,1,21,11,   Denny Hamlin,FedEx Express   (Joe Gibbs),Toyota,209,running,79,50,6,Super Speedway
1,Daytona,2,27,12,   Ryan Blaney,Menards / Peak   (Roger Penske),Ford,209,running,4,43,0,Super Speedway
1,Daytona,3,19,17,   Chris Buescher,DeWalt / Fastenal   (Jack Roush),Ford,209,running,0,37,0,Super Speedway
1,Daytona,4,30,36,   David Ragan,Select Blinds   (Rick Ware),Ford,209,running,0,33,0,Super Speedway
1,Daytona,5,10,4,   Kevin Harvick,Busch Light #PIT4BUSCH   (Stewart Haas Racing),Ford,209,running,0,32,0,Super Speedway
1,Daytona,6,29,14,   Clint Bowyer,Rush Truck Centers / Mobil 1   (Stewart Haas Racing),Ford,209,running,0,31,0,Super Speedway
1,Daytona,7,39,62,   Brendan Gaughan,Beard Oil / South Point Hotel & Casino   (Beard Motorsports),Chevrolet,209,running,0,0,0,Super Speedway
1,Daytona,8,36,32,   Corey LaJoie,RagingBull.com   (Archie St. Hilaire),Ford,209,running,1,29,0,Super Speedway
1,Daytona,9,7,6,   Ryan Newman,Koch Industries   (Jack Roush),Ford,209,running,15,28,0,Super Speedway
1,Daytona,10,8,42,   Kyle Larson,Credit One Bank   (Chip Ganassi),Chevrolet,209,running,0,27,0,Super Speedway
1,Daytona,11,23,38,   John H. Nemechek,Citgard   (Bob Jenkins),Ford,209,running,0,26,0,Super Speedway
1,Daytona,12,13,3,   Austin Dillon,Bass Pro Shops / Tracker Off Road   (Richard Childress),Chevrolet,209,running,0,25,0,Super Speedway
1,Daytona,13,33,16,   Justin Haley,Fraternal Order of Eagles   (Matthew Kaulig),Chevrolet,209,running,0,0,0,Super Speedway
1,Daytona,14,26,34,   Michael McDowell,Love's Travel Stops / Speedco   (Bob Jenkins),Ford,209,running,1,23,0,Super Speedway
1,Daytona,15,11,43,   Bubba Wallace,U.S. Air Force   (Richard Petty Motorsports),Chevrolet,209,running,0,22,0,Super Speedway
