Race Number,Track,Pos,St,#,Driver,Sponsor,Owner,Car,Laps,Status,Led,Pts,PPts,Track Type,Length
1,Daytona,1,17,34,MichaelMcDowell,Love'sTravelStops/Speedc,BobJenkins,Ford,200,running,1,44,5,Super Speedway,500
1,Daytona,2,12,9,ChaseElliott,NAPAAutoPart,RickHendrick,Chevrolet,200,running,3,42,0,Super Speedway,500
1,Daytona,3,4,3,AustinDillon,BassProShops/TrackerOffRoa,RichardChildress,Chevrolet,200,running,7,48,0,Super Speedway,500
1,Daytona,4,8,4,KevinHarvick,BuschLight#TheCre,StewartHaasRacing,Ford,200,running,17,42,0,Super Speedway,500
1,Daytona,5,25,11,DennyHamlin,FedE,JoeGibbs,Toyota,200,running,98,52,2,Super Speedway,500
1,Daytona,6,11,37,RyanPreece,Cottonell,JTG-DaughertyRacing,Chevrolet,200,running,0,40,0,Super Speedway,500
1,Daytona,7,34,42,RossChastain,Clove,ChipGanassi,Chevrolet,200,running,0,32,0,Super Speedway,500
1,Daytona,8,19,77,JamieMcMurray,AdventHealth/BassProShop,SpireMotorsports,Chevrolet,200,running,0,29,0,Super Speedway,500
1,Daytona,9,16,7,CoreyLaJoie,Youtheor,SpireMotorsports,Chevrolet,200,running,0,28,0,Super Speedway,500
1,Daytona,10,13,5,KyleLarson,NationsGuar,RickHendrick,Chevrolet,200,running,1,37,0,Super Speedway,500
1,Daytona,11,27,41,ColeCuster,HaasTooling.co,StewartHaasRacing,Ford,200,running,1,27,0,Super Speedway,500
1,Daytona,12,9,22,JoeyLogano,Shell/Pennzoi,RogerPenske,Ford,199,crash,26,33,0,Super Speedway,500
1,Daytona,13,24,2,BradKeselowski,DiscountTir,RogerPenske,Ford,199,crash,0,25,0,Super Speedway,500
1,Daytona,14,10,18,KyleBusch,M&M',JoeGibbs,Toyota,199,crash,0,25,0,Super Speedway,500
1,Daytona,15,39,33,AustinCindric,Verizon5,RogerPenske,Ford,199,crash,2,0,0,Super Speedway,500
1,Daytona,16,5,20,ChristopherBell,DeWal,JoeGibbs,Toyota,199,running,32,26,0,Super Speedway,500
1,Daytona,17,6,23,BubbaWallace,DoorDas,23XIRacing,Toyota,198,crash,1,32,0,Super Speedway,500
1,Daytona,18,21,47,RickyStenhouseJr,Kroger/NOSEnergyDrin,JTG-DaughertyRacing,Chevrolet,198,running,0,19,0,Super Speedway,500
1,Daytona,19,30,14,ChaseBriscoe,HighPoint.co,StewartHaasRacing,Ford,197,running,0,18,0,Super Speedway,500
1,Daytona,20,28,53,JoeyGase,PageConstruction/FoxNatio,RickWare,Ford,196,running,0,0,0,Super Speedway,500
1,Daytona,21,35,51,CodyWare,NurtecOD,RickWare,Chevrolet,196,running,0,16,0,Super Speedway,500
1,Daytona,22,20,1,KurtBusch,MonsterEnerg,ChipGanassi,Chevrolet,195,running,0,15,0,Super Speedway,500
1,Daytona,23,38,78,B.J.McLeod,NASCARHeat5/XboxFreePlayDay,B.J.McLeod,Ford,195,running,0,0,0,Super Speedway,500
1,Daytona,24,37,52,JoshBilicki,WisconsinLightningLa,RickWare,Ford,194,running,0,13,0,Super Speedway,500
1,Daytona,25,26,19,MartinTruexJr,BassProShops/TrackerBoats&ATV,JoeGibbs,Toyota,193,running,0,12,0,Super Speedway,500
1,Daytona,26,2,24,WilliamByron,Axalt,RickHendrick,Chevrolet,191,running,0,11,0,Super Speedway,500
1,Daytona,27,29,8,TylerReddick,Lenov,RichardChildress,Chevrolet,188,running,0,10,0,Super Speedway,500
