RaceNumber,Track,Pos,Start,CarNumber,Owner,Sponsor/Owner,Manufact,Laps,Status,Led,Pts,PlayoffPoints,Track Type
1,Daytona,1,5,2,AustinCindric,DiscountTire(RogerPenske),Ford,201,running,21,45,5,Super Speedway
1,Daytona,2,16,23,BubbaWallace,McDonald's(23XIRacing),Toyota,201,running,12,43,0,Super Speedway
1,Daytona,3,9,14,ChaseBriscoe,MahindraTractors(StewartHaasRacing),Ford,201,running,0,34,0,Super Speedway
1,Daytona,4,7,12,RyanBlaney,Menards/BlueDef/Peak(RogerPenske),Ford,201,running,36,33,0,Super Speedway
1,Daytona,5,38,10,AricAlmirola,Smithifeld(StewartHaasRacing),Ford,201,running,0,32,0,Super Speedway
1,Daytona,6,10,18,KyleBusch,M&M's(JoeGibbs),Toyota,201,running,28,31,0,Super Speedway
1,Daytona,7,6,34,MichaelMcDowell,Love'sTravelStops(BobJenkins),Ford,201,running,0,30,0,Super Speedway
1,Daytona,8,34,15,DavidRagan,SelectBlinds(RickWare),Ford,201,running,0,29,0,Super Speedway
1,Daytona,9,3,6,BradKeselowski,KohlerGenerators(JackRoush),Ford,201,running,67,44,0,Super Speedway
1,Daytona,10,11,9,ChaseElliott,NAPAAutoParts(RickHendrick),Chevrolet,201,running,0,28,0,Super Speedway
1,Daytona,11,26,42,TyDillon,BlackRifleCoffeeCo.(PettyGMSMotorsports),Chevrolet,201,running,0,26,0,Super Speedway
1,Daytona,12,33,16,DanielHemric,HeritagePoolSupplyGroup(MatthewKaulig),Chevrolet,201,running,0,0,0,Super Speedway
1,Daytona,13,14,19,MartinTruexJr,BassProShops(JoeGibbs),Toyota,201,running,11,44,2,Super Speedway
1,Daytona,14,24,7,CoreyLaJoie,Built.com(SpireMotorsports),Chevrolet,201,running,0,23,0,Super Speedway
1,Daytona,15,27,77,LandonCassill,FoxNation(SpireMotorsports),Chevrolet,201,running,0,0,0,Super Speedway
1,Daytona,16,4,17,ChrisBuescher,Fastenal(JackRoush),Ford,200,running,0,25,0,Super Speedway
1,Daytona,17,32,51,CodyWare,NurtecODT(RickWare),Ford,200,running,0,20,0,Super Speedway
1,Daytona,18,21,99,DanielSuarez,TootsiesOrchidLounge(TrackhouseRacing),Chevrolet,199,running,0,19,0,Super Speedway
1,Daytona,19,17,45,KurtBusch,MonsterEnergy(23XIRacing),Toyota,199,running,0,22,0,Super Speedway
1,Daytona,20,31,41,ColeCuster,HaasTooling.com(StewartHaasRacing),Ford,199,running,0,17,0,Super Speedway
1,Daytona,21,20,22,JoeyLogano,Shell/Pennzoil(RogerPenske),Ford,198,running,1,31,0,Super Speedway
1,Daytona,22,40,27,JacquesVilleneuve,HezebergEngineeringSystems(TeamHezeberg),Ford,198,running,0,15,0,Super Speedway
1,Daytona,23,25,31,JustinHaley,LeafFilterGutterProtection(MatthewKaulig),Chevrolet,198,running,0,14,0,Super Speedway
1,Daytona,24,2,48,AlexBowman,Ally(RickHendrick),Chevrolet,197,running,0,13,0,Super Speedway
1,Daytona,25,36,3,AustinDillon,BassProShops/TrackerOffRoad(RichardChildress),Chevrolet,197,running,1,17,0,Super Speedway
1,Daytona,26,35,50,KazGrala,PitViperSunglasses(TMTRacing),Chevrolet,196,running,0,11,0,Super Speedway
1,Daytona,27,37,78,B.J.McLeod,NASCARIgnition(B.J.McLeod),Ford,196,running,0,10,0,Super Speedway
1,Daytona,28,18,47,RickyStenhouseJr,Kroger/IrishSpring(JTG-DaughertyRacing),Chevrolet,194,crash,16,22,0,Super Speedway
1,Daytona,29,13,43,ErikJones,FocusFactor(PettyGMSMotorsports),Chevrolet,191,crash,3,11,0,Super Speedway
1,Daytona,30,22,4,KevinHarvick,BuschLight#BuschRaceTeam(StewartHaasRacing),Ford,191,dvp,0,10,0,Super Speedway
1,Daytona,31,39,62,NoahGragson,BeardOil/SouthPoint(BeardMotorsports),Chevrolet,190,crash,0,0,0,Super Speedway
1,Daytona,32,1,5,KyleLarson,HendrickCars.com(RickHendrick),Chevrolet,190,crash,1,9,0,Super Speedway
1,Daytona,33,29,38,ToddGilliland,FirstPhaseCreditCard(BobJenkins),Ford,190,crash,0,13,0,Super Speedway
1,Daytona,34,12,20,ChristopherBell,DeWalt(JoeGibbs),Toyota,152,crash,0,3,0,Super Speedway
1,Daytona,35,15,8,TylerReddick,3CHI(RichardChildress),Chevrolet,151,crash,0,2,0,Super Speedway
1,Daytona,36,28,44,GregBiffle,GramblingStateUniversity(JohnathanCohen),Chevrolet,136,running,0,1,0,Super Speedway
1,Daytona,37,30,11,DennyHamlin,FedExExpress(JoeGibbs),Toyota,63,crash,0,1,0,Super Speedway
1,Daytona,38,23,24,WilliamByron,Axalta(RickHendrick),Chevrolet,62,crash,1,1,0,Super Speedway
1,Daytona,39,8,21,HarrisonBurton,Motorcraft/DexImaging(WoodBrothers),Ford,62,crash,3,1,0,Super Speedway
1,Daytona,40,19,1,RossChastain,AdventHealth(TrackhouseRacing),Chevrolet,62,crash,0,1,0,Super Speedway
2,Fontana,1,13,5,KyleLarson,HendrickCars.com(RickHendrick),Chevrolet,200,running,28,52,5,Oval
2,Fontana,2,16,3,AustinDillon,DowCoatings(RichardChildress),Chevrolet,200,running,0,35,0,Oval
2,Fontana,3,2,43,ErikJones,FocusFactor(PettyGMSMotorsports),Chevrolet,200,running,18,52,0,Oval
2,Fontana,4,15,99,DanielSuarez,FreewayInsurance(TrackhouseRacing),Chevrolet,200,running,0,33,0,Oval
2,Fontana,5,7,22,JoeyLogano,AAASouthernCalifornia(RogerPenske),Ford,200,running,14,44,0,Oval
2,Fontana,6,31,10,AricAlmirola,Rush/MobilDelvac1(StewartHaasRacing),Ford,200,running,0,34,0,Oval
2,Fontana,7,32,4,KevinHarvick,Subway(StewartHaasRacing),Ford,200,running,1,30,0,Oval
2,Fontana,8,36,45,KurtBusch,MonsterEnergy(23XIRacing),Toyota,200,running,0,29,0,Oval
2,Fontana,9,5,16,DanielHemric,PoppyBank(MatthewKaulig),Chevrolet,200,running,0,0,0,Oval
2,Fontana,10,17,47,RickyStenhouseJr,Ralph's/HoneyNutCheerios(JTG-DaughertyRacing),Chevrolet,200,running,0,28,0,Oval
2,Fontana,11,21,41,ColeCuster,ProductionAllianceGroup(StewartHaasRacing),Ford,200,running,0,31,0,Oval
2,Fontana,12,1,2,AustinCindric,Menards/QuakerState(RogerPenske),Ford,200,running,0,31,0,Oval
2,Fontana,13,12,19,MartinTruexJr,Reser'sFineFoods(JoeGibbs),Toyota,200,running,0,24,0,Oval
2,Fontana,14,3,18,KyleBusch,InterstateBatteries(JoeGibbs),Toyota,200,running,0,23,0,Oval
2,Fontana,15,4,11,DennyHamlin,FedExGround(JoeGibbs),Toyota,200,running,0,23,0,Oval
2,Fontana,16,24,14,ChaseBriscoe,MahindraTractors(StewartHaasRacing),Ford,200,running,20,28,0,Oval
2,Fontana,17,18,42,TyDillon,Allegiant(PettyGMSMotorsports),Chevrolet,200,running,0,20,0,Oval
2,Fontana,18,6,12,RyanBlaney,Wurth(RogerPenske),Ford,200,running,1,29,0,Oval
2,Fontana,19,34,23,BubbaWallace,Wheaties(23XIRacing),Toyota,200,running,0,18,0,Oval
2,Fontana,20,26,38,ToddGilliland,FrontlineEnterprises(BobJenkins),Ford,200,running,0,17,0,Oval
2,Fontana,21,29,15,GarrettSmithley,JacobCompanies(RickWare),Ford,200,running,0,16,0,Oval
2,Fontana,22,30,78,B.J.McLeod,PalaCasino(B.J.McLeod),Ford,200,running,0,15,0,Oval
2,Fontana,23,35,31,JustinHaley,LeafFilterGutterProtection(MatthewKaulig),Chevrolet,200,running,0,14,0,Oval
2,Fontana,24,11,8,TylerReddick,Lenovo(RichardChildress),Chevrolet,199,running,90,33,2,Oval
2,Fontana,25,14,48,AlexBowman,Ally(RickHendrick),Chevrolet,199,running,0,17,0,Oval
2,Fontana,26,8,9,ChaseElliott,NAPAAutoParts(RickHendrick),Chevrolet,198,running,12,11,0,Oval
2,Fontana,27,9,6,BradKeselowski,VioletDefense(JackRoush),Ford,198,running,0,10,0,Oval
2,Fontana,28,25,7,CoreyLaJoie,GeneralFormulations/Mutoh(SpireMotorsports),Chevrolet,198,running,0,9,0,Oval
2,Fontana,29,33,1,RossChastain,CasaDelSolTequila(TrackhouseRacing),Chevrolet,198,running,0,8,0,Oval
2,Fontana,30,28,77,JoshBilicki,PacificCoastTermite(SpireMotorsports),Chevrolet,198,running,0,0,0,Oval
2,Fontana,31,23,34,MichaelMcDowell,StageFront(BobJenkins),Ford,193,electrical,0,6,0,Oval
2,Fontana,32,27,51,CodyWare,NurtecODT(RickWare),Ford,187,running,0,5,0,Oval
2,Fontana,33,22,21,HarrisonBurton,DexImaging(WoodBrothers),Ford,157,crash,0,4,0,Oval
2,Fontana,34,10,24,WilliamByron,Axalta(RickHendrick),Chevrolet,151,crash,16,13,0,Oval
2,Fontana,35,20,17,ChrisBuescher,Fastenal(JackRoush),Ford,111,crash,0,2,0,Oval
2,Fontana,36,19,20,ChristopherBell,Rheem(JoeGibbs),Toyota,94,engine,0,1,0,Oval
3,LasVegas,1,13,48,AlexBowman,Ally(RickHendrick),Chevrolet,274,running,16,50,6,Oval
3,LasVegas,2,2,5,KyleLarson,HendrickCars.com(RickHendrick),Chevrolet,274,running,27,48,0,Oval
3,LasVegas,3,18,1,RossChastain,ACMAwards(TrackhouseRacing),Chevrolet,274,running,83,52,1,Oval
3,LasVegas,4,37,18,KyleBusch,EthelMChocolates(JoeGibbs),Toyota,274,running,49,41,0,Oval
3,LasVegas,5,14,24,WilliamByron,Axalta(RickHendrick),Chevrolet,274,running,8,48,0,Oval
3,LasVegas,6,20,10,AricAlmirola,Mobil1(StewartHaasRacing),Ford,274,running,0,31,0,Oval
3,LasVegas,7,7,8,TylerReddick,BetMGM(RichardChildress),Chevrolet,274,running,0,30,0,Oval
3,LasVegas,8,12,19,MartinTruexJr,BassProShops(JoeGibbs),Toyota,274,running,1,34,0,Oval
3,LasVegas,9,5,9,ChaseElliott,NAPAAutoParts(RickHendrick),Chevrolet,274,running,0,43,0,Oval
3,LasVegas,10,1,20,ChristopherBell,DeWalt(JoeGibbs),Toyota,274,running,32,28,0,Oval
3,LasVegas,11,10,3,AustinDillon,Breztri(RichardChildress),Chevrolet,274,running,0,26,0,Oval
3,LasVegas,12,25,4,KevinHarvick,Rheem/SmurfitKappa(StewartHaasRacing),Ford,274,running,0,28,0,Oval
3,LasVegas,13,31,45,KurtBusch,MonsterEnergy(23XIRacing),Toyota,274,running,4,24,0,Oval
3,LasVegas,14,6,22,JoeyLogano,Pennzoil(RogerPenske),Ford,274,running,0,27,0,Oval
3,LasVegas,15,29,7,CoreyLaJoie,SchluterSystems(SpireMotorsports),Chevrolet,274,running,0,22,0,Oval
3,LasVegas,16,19,21,HarrisonBurton,Motorcraft/QuickLane(WoodBrothers),Ford,274,running,0,21,0,Oval
3,LasVegas,17,28,31,JustinHaley,LeafFilterGutterProtection(MatthewKaulig),Chevrolet,274,running,0,20,0,Oval
3,LasVegas,18,27,17,ChrisBuescher,WyndhamRewards(JackRoush),Ford,274,running,0,19,0,Oval
