RaceNumber,Track,Pos,Start,Car Number,Owner,Sponsor / Owner,Manufact,Laps,Status,Led,Pts,Playoff Points,Track Type
1,Daytona,1,31,47,   Ricky Stenhouse Jr,Kroger/Cottonelle   (JTG-Daugherty Racing),Chevrolet,212,running,10,48,5,Super Speedway
1,Daytona,2,3,22,   Joey Logano,Shell Pennzoil   (Roger Penske),Ford,212,running,12,52,0,Super Speedway
1,Daytona,3,5,20,   Christopher Bell,DeWalt - Rheem   (Joe Gibbs),Toyota,212,running,20,44,0,Super Speedway
1,Daytona,4,9,17,   Chris Buescher,Fastenal   (Jack Roush),Ford,212,running,32,50,0,Super Speedway
1,Daytona,5,1,48,   Alex Bowman,Ally   (Rick Hendrick),Chevrolet,212,running,12,41,0,Super Speedway
1,Daytona,6,29,16,   A.J. Allmendinger,Nutrien Ag Solutions   (Matthew Kaulig),Chevrolet,212,running,1,34,0,Super Speedway
1,Daytona,7,24,99,   Daniel Suarez,Tootsies Orchid Lounge   (Trackhouse Racing),Chevrolet,212,running,3,30,0,Super Speedway
1,Daytona,8,7,12,   Ryan Blaney,MenardsBlue DEFPEAK   (Roger Penske),Ford,212,running,1,37,0,Super Speedway
1,Daytona,9,23,1,   Ross Chastain,AdventHealth   (Trackhouse Racing),Chevrolet,212,running,6,38,1,Super Speedway
1,Daytona,10,38,15,   Riley Herbst,SunnyD   (Rick Ware),Ford,212,running,0,0,0,Super Speedway
1,Daytona,11,40,67,   Travis Pastrana,Black Rifle Coffee   (23XI Racing),Toyota,212,running,2,26,0,Super Speedway
1,Daytona,12,13,4,   Kevin Harvick,Busch Light   (Stewart Haas Racing),Ford,212,running,1,37,0,Super Speedway
1,Daytona,13,17,36,   Zane Smith,Wellcare   (Bob Jenkins),Ford,212,running,0,3,0,Super Speedway
1,Daytona,14,35,51,   Cody Ware,Biohaven/Jacob Co.   (Rick Ware),Ford,212,running,0,23,0,Super Speedway
1,Daytona,15,16,19,   Martin Truex Jr,Bass Pro Shops   (Joe Gibbs),Toyota,212,running,13,32,0,Super Speedway
1,Daytona,16,12,7,   Corey LaJoie,Celsius   (Spire Motorsports),Chevrolet,212,running,0,27,0,Super Speedway
1,Daytona,17,18,11,   Denny Hamlin,FedEx 50   (Joe Gibbs),Toyota,212,running,6,22,0,Super Speedway
1,Daytona,18,2,5,   Kyle Larson,HendrickCars.com   (Rick Hendrick),Chevrolet,211,crash,6,24,0,Super Speedway
1,Daytona,19,36,8,   Kyle Busch,3CHI   (Richard Childress),Chevrolet,211,crash,6,18,0,Super Speedway
1,Daytona,20,15,23,   Bubba Wallace,McDonald's   (23XI Racing),Toyota,211,crash,5,21,0,Super Speedway
1,Daytona,21,4,10,   Aric Almirola,Smithfield   (Stewart Haas Racing),Ford,211,crash,16,29,0,Super Speedway
