Track,EndingPosition,StartingPosition,CarNumber,Driver,Sponsor,Owner,CarManufacturer,TrackType,Length
Daytona,1,21,11,DennyHamlin,FedExExpress,JoeGibbs,Toyota,SuperSpeedway,523
Daytona,2,27,12,RyanBlaney,Menards/Peak,RogerPenske,Ford,SuperSpeedway,523
Daytona,3,19,17,ChrisBuescher,DeWalt/Fastenal,JackRoush,Ford,SuperSpeedway,523
Daytona,4,30,36,DavidRagan,SelectBlinds,RickWare,Ford,SuperSpeedway,523
Daytona,5,10,4,KevinHarvick,BuschLight#PIT4BUSCH,StewartHaasRacing,Ford,SuperSpeedway,523
Daytona,6,29,14,ClintBowyer,RushTruckCenters/Mobil1,StewartHaasRacing,Ford,SuperSpeedway,523
Daytona,7,39,62,BrendanGaughan,BeardOil/SouthPointHotel&Casino,BeardMotorsports,Chevrolet,SuperSpeedway,523
Daytona,8,36,32,CoreyLaJoie,RagingBull.com,ArchieSt.Hilaire,Ford,SuperSpeedway,523
Daytona,9,7,6,RyanNewman,KochIndustries,JackRoush,Ford,SuperSpeedway,523
Daytona,10,8,42,KyleLarson,CreditOneBank,ChipGanassi,Chevrolet,SuperSpeedway,523
Daytona,11,23,38,JohnH.Nemechek,Citgard,BobJenkins,Ford,SuperSpeedway,523
Daytona,12,13,3,AustinDillon,BassProShops/TrackerOffRoad,RichardChildress,Chevrolet,SuperSpeedway,523
Daytona,13,33,16,JustinHaley,FraternalOrderofEagles,MatthewKaulig,Chevrolet,SuperSpeedway,523
Daytona,14,26,34,MichaelMcDowell,Love'sTravelStops/Speedco,BobJenkins,Ford,SuperSpeedway,523
Daytona,15,11,43,BubbaWallace,U.S.AirForce,RichardPettyMotorsports,Chevrolet,SuperSpeedway,523
Daytona,16,34,15,BrennanPoole,SpartanGo/SpartanMosquito,JayRobinson,Chevrolet,SuperSpeedway,523
Daytona,17,25,9,ChaseElliott,NAPAAutoParts,RickHendrick,Chevrolet,SuperSpeedway,523
Daytona,18,14,20,ErikJones,DeWalt,JoeGibbs,Toyota,SuperSpeedway,523
Daytona,19,16,21,MattDiBenedetto,Motorcraft/QuickLane,WoodBrothers,Ford,SuperSpeedway,523
Daytona,20,1,47,RickyStenhouseJr,Kroger/Velveeta/Cheerios,JTG-DaughertyRacing,Chevrolet,SuperSpeedway,523
Daytona,21,17,95,ChristopherBell,Procore,LeavineFamilyRacing,Toyota,SuperSpeedway,523
Daytona,22,5,10,AricAlmirola,Smithfield,StewartHaasRacing,Ford,SuperSpeedway,523
Daytona,23,37,51,JoeyGase,EFXCorp./PageKC.com,RickWare,Chevrolet,SuperSpeedway,523
Daytona,24,2,88,AlexBowman,Valvoline,RickHendrick,Chevrolet,SuperSpeedway,523
Daytona,25,20,77,RossChastain,AdventHealth,SpireMotorsports,Chevrolet,SuperSpeedway,523
Daytona,26,3,22,JoeyLogano,Shell/Pennzoil,RogerPenske,Ford,SuperSpeedway,523
Daytona,27,32,66,TimmyHill,RoofClaim.com/VSIRacing,CarlLong,Ford,SuperSpeedway,523
Daytona,28,22,8,TylerReddick,Caterpillar,RichardChildress,Chevrolet,SuperSpeedway,523
Daytona,29,31,37,RyanPreece,Cottonelle,JTG-DaughertyRacing,Chevrolet,SuperSpeedway,523
Daytona,30,24,13,TyDillon,GEICO,GermainRacing,Chevrolet,SuperSpeedway,523
Daytona,31,40,27,ReedSorenson,PremiumMotorsports,JayRobinson,Chevrolet,SuperSpeedway,523
Daytona,32,15,19,MartinTruexJr,BassProShops/TrackerBoats&ATVs,JoeGibbs,Toyota,SuperSpeedway,523
Daytona,33,18,1,KurtBusch,MonsterEnergy,ChipGanassi,Chevrolet,SuperSpeedway,523
Daytona,34,28,18,KyleBusch,M&M's,JoeGibbs,Toyota,SuperSpeedway,523
Daytona,35,6,48,JimmieJohnson,Ally,RickHendrick,Chevrolet,SuperSpeedway,523
Daytona,36,9,2,BradKeselowski,DiscountTire,RogerPenske,Ford,SuperSpeedway,523
Daytona,37,12,41,ColeCuster,HaasAutomation,StewartHaasRacing,Ford,SuperSpeedway,523
Daytona,38,38,52,B.J.McLeod,ChristensenArms,RickWare,Ford,SuperSpeedway,523
Daytona,39,35,0,QuinHouff,JacobConstruction,StarComRacing,Chevrolet,SuperSpeedway,523
Daytona,40,4,24,WilliamByron,"Axalta""ColoroftheYear""",RickHendrick,Chevrolet,SuperSpeedway,523
LasVegas,1,5,22,JoeyLogano,Pennzoil,RogerPenske,Ford,Oval,401
LasVegas,2,19,21,MattDiBenedetto,Motorcraft/QuickLane,WoodBrothers,Ford,Oval,401
LasVegas,3,26,47,RickyStenhouseJr,Kroger/Cheerios/HealthyChoice,JTG-DaughertyRacing,Chevrolet,Oval,401
LasVegas,4,21,3,AustinDillon,BassProShops/TrackerOffRoad,RichardChildress,Chevrolet,Oval,401
LasVegas,5,18,48,JimmieJohnson,Ally,RickHendrick,Chevrolet,Oval,401
LasVegas,6,27,43,BubbaWallace,Coca-ColaEnergy,RichardPettyMotorsports,Chevrolet,Oval,401
LasVegas,7,8,2,BradKeselowski,DiscountTire,RogerPenske,Ford,Oval,401
LasVegas,8,3,4,KevinHarvick,BuschLight,StewartHaasRacing,Ford,Oval,401
LasVegas,9,6,42,KyleLarson,CreditOneBank,ChipGanassi,Chevrolet,Oval,401
LasVegas,10,24,13,TyDillon,GEICO,GermainRacing,Chevrolet,Oval,401
LasVegas,11,7,12,RyanBlaney,Menards/Pennzoil,RogerPenske,Ford,Oval,401
LasVegas,12,9,14,ClintBowyer,BlueDEF,StewartHaasRacing,Ford,Oval,401
LasVegas,13,12,88,AlexBowman,Llumar,RickHendrick,Chevrolet,Oval,401
LasVegas,14,23,17,ChrisBuescher,Fastenal/3M,JackRoush,Ford,Oval,401
LasVegas,15,1,18,KyleBusch,SnickersWhite,JoeGibbs,Toyota,Oval,401
LasVegas,16,30,32,CoreyLaJoie,SchluterSystems,ArchieSt.Hilaire,Ford,Oval,401
LasVegas,17,4,11,DennyHamlin,FedExGround,JoeGibbs,Toyota,Oval,401
LasVegas,18,25,8,TylerReddick,TametheBeast,RichardChildress,Chevrolet,Oval,401
LasVegas,19,17,41,ColeCuster,ProductionAllianceGroup/Haas,StewartHaasRacing,Ford,Oval,401
LasVegas,20,2,19,MartinTruexJr,BassProShops/TrackerBoats&ATVs,JoeGibbs,Toyota,Oval,401
LasVegas,21,14,10,AricAlmirola,Smithfield,StewartHaasRacing,Ford,Oval,401
LasVegas,22,11,24,WilliamByron,Axalta,RickHendrick,Chevrolet,Oval,401
LasVegas,23,16,20,ErikJones,IrwinSPEEDBOR,JoeGibbs,Toyota,Oval,401
LasVegas,24,29,38,JohnH.Nemechek,Berry'sBullets,BobJenkins,Ford,Oval,401
LasVegas,25,13,1,KurtBusch,MonsterEnergy,ChipGanassi,Chevrolet,Oval,401
LasVegas,26,10,9,ChaseElliott,NAPAAutoParts,RickHendrick,Chevrolet,Oval,401
LasVegas,27,15,6,RossChastain,WyndhamRewards,JackRoush,Ford,Oval,401
LasVegas,28,37,52,J.J.Yeley,JacobCompanies,RickWare,Ford,Oval,401
LasVegas,29,33,15,BrennanPoole,GoettlAirConditioning&Plumbing,JayRobinson,Chevrolet,Oval,401
LasVegas,30,35,96,DanielSuarez,ToyotaCertifiedUsedVehicles,GauntBrothers,Toyota,Oval,401
LasVegas,31,31,53,JoeyGase,NevadaDonorNetwork,RickWare,Ford,Oval,401
LasVegas,32,32,0,QuinHouff,VictoryWeekend,StarComRacing,Chevrolet,Oval,401
LasVegas,33,22,95,ChristopherBell,Rheem/Procore/RTP,LeavineFamilyRacing,Toyota,Oval,401
LasVegas,34,36,77,ReedSorenson,SpireMotorsports,SpireMotorsports,Chevrolet,Oval,401
LasVegas,35,34,51,GarrettSmithley,RickWareRacing,RickWare,Chevrolet,Oval,401
LasVegas,36,28,34,MichaelMcDowell,Love'sTravelStops/Speedco,BobJenkins,Ford,Oval,401
LasVegas,37,20,37,RyanPreece,NaturalLightSeltzer,JTG-DaughertyRacing,Chevrolet,Oval,401
LasVegas,38,38,66,TimmyHill,Manscaped/LasVegas.net,CarlLong,Toyota,Oval,401
Fontana,1,3,88,AlexBowman,Cincinnati,RickHendrick,Chevrolet,Oval,400
Fontana,2,17,18,KyleBusch,InterstateBatteries,JoeGibbs,Toyota,Oval,400
