Track,Pos,St,#,Driver,Sponsor/Owner,Car,Led,TrackType
Daytona,1,21,11,DennyHamlin,FedExExpress(JoeGibbs),Toyota,79,SuperSpeedway
Daytona,2,27,12,RyanBlaney,Menards/Peak(RogerPenske),Ford,4,SuperSpeedway
Daytona,3,19,17,ChrisBuescher,DeWalt/Fastenal(JackRoush),Ford,0,SuperSpeedway
Daytona,4,30,36,DavidRagan,SelectBlinds(RickWare),Ford,0,SuperSpeedway
Daytona,5,10,4,KevinHarvick,BuschLight#PIT4BUSCH(StewartHaasRacing),Ford,0,SuperSpeedway
Daytona,6,29,14,ClintBowyer,RushTruckCenters/Mobil1(StewartHaasRacing),Ford,0,SuperSpeedway
Daytona,7,39,62,BrendanGaughan,BeardOil/SouthPointHotel&Casino(BeardMotorsports),Chevrolet,0,SuperSpeedway
Daytona,8,36,32,CoreyLaJoie,RagingBull.com(ArchieSt.Hilaire),Ford,1,SuperSpeedway
Daytona,9,7,6,RyanNewman,KochIndustries(JackRoush),Ford,15,SuperSpeedway
Daytona,10,8,42,KyleLarson,CreditOneBank(ChipGanassi),Chevrolet,0,SuperSpeedway
Daytona,11,23,38,JohnH.Nemechek,Citgard(BobJenkins),Ford,0,SuperSpeedway
Daytona,12,13,3,AustinDillon,BassProShops/TrackerOffRoad(RichardChildress),Chevrolet,0,SuperSpeedway
Daytona,13,33,16,JustinHaley,FraternalOrderofEagles(MatthewKaulig),Chevrolet,0,SuperSpeedway
Daytona,14,26,34,MichaelMcDowell,Love'sTravelStops/Speedco(BobJenkins),Ford,1,SuperSpeedway
Daytona,15,11,43,BubbaWallace,U.S.AirForce(RichardPettyMotorsports),Chevrolet,0,SuperSpeedway
Daytona,16,34,15,BrennanPoole,SpartanGo/SpartanMosquito(JayRobinson),Chevrolet,0,SuperSpeedway
Daytona,17,25,9,ChaseElliott,NAPAAutoParts(RickHendrick),Chevrolet,23,SuperSpeedway
Daytona,18,14,20,ErikJones,DeWalt(JoeGibbs),Toyota,0,SuperSpeedway
Daytona,19,16,21,MattDiBenedetto,Motorcraft/QuickLane(WoodBrothers),Ford,0,SuperSpeedway
