Track, EndPos, StartPos, CarNumber, Driver, Sponsor, Manufacturer, Laps, Led, Pts, PPts
Daytona,1,17,34, Michael McDowell,Love's Travel Stops / Speedco  (Bob Jenkins),Ford,200,running,1,44,5
Daytona,2,12,9, Chase Elliott,NAPA Auto Parts  (Rick Hendrick),Chevrolet,200,running,3,42,0
Daytona,3,4,3, Austin Dillon,Bass Pro Shops / Tracker Off Road  (Richard Childress),Chevrolet,200,running,7,48,0
Daytona,4,8,4, Kevin Harvick,Busch Light #TheCrew  (Stewart Haas Racing),Ford,200,running,17,42,0
Daytona,5,25,11, Denny Hamlin,FedEx  (Joe Gibbs),Toyota,200,running,98,52,2
Daytona,6,11,37, Ryan Preece,Cottonelle  (JTG-Daugherty Racing),Chevrolet,200,running,0,40,0
Daytona,7,34,42, Ross Chastain,Clover  (Chip Ganassi),Chevrolet,200,running,0,32,0
Daytona,8,19,77, Jamie McMurray,Advent Health / Bass Pro Shops  (Spire Motorsports),Chevrolet,200,running,0,29,0
Daytona,9,16,7, Corey LaJoie,Youtheory  (Spire Motorsports),Chevrolet,200,running,0,28,0
Daytona,10,13,5, Kyle Larson,Nations Guard  (Rick Hendrick),Chevrolet,200,running,1,37,0
Daytona,11,27,41, Cole Custer,HaasTooling.com  (Stewart Haas Racing),Ford,200,running,1,27,0
Daytona,12,9,22, Joey Logano,Shell / Pennzoil  (Roger Penske),Ford,199,crash,26,33,0
Daytona,13,24,2, Brad Keselowski,Discount Tire  (Roger Penske),Ford,199,crash,0,25,0
Daytona,14,10,18, Kyle Busch,M&M's  (Joe Gibbs),Toyota,199,crash,0,25,0
Daytona,15,39,33, Austin Cindric,Verizon 5G  (Roger Penske),Ford,199,crash,2,0,0
Daytona,16,5,20, Christopher Bell,DeWalt  (Joe Gibbs),Toyota,199,running,32,26,0
Daytona,17,6,23, Bubba Wallace,Door Dash  (23XI Racing),Toyota,198,crash,1,32,0
Daytona,18,21,47, Ricky Stenhouse Jr,Kroger / NOS Energy Drink  (JTG-Daugherty Racing),Chevrolet,198,running,0,19,0
Daytona,19,30,14, Chase Briscoe,HighPoint.com  (Stewart Haas Racing),Ford,197,running,0,18,0
Daytona,20,28,53, Joey Gase,Page Construction / Fox Nation  (Rick Ware),Ford,196,running,0,0,0
Daytona,21,35,51, Cody Ware,Nurtec ODT  (Rick Ware),Chevrolet,196,running,0,16,0
Daytona,22,20,1, Kurt Busch,Monster Energy  (Chip Ganassi),Chevrolet,195,running,0,15,0
Daytona,23,38,78, B.J. McLeod,NASCAR Heat 5 / Xbox Free Play Days  (B.J. McLeod),Ford,195,running,0,0,0
Daytona,24,37,52, Josh Bilicki,Wisconsin Lightning Lab  (Rick Ware),Ford,194,running,0,13,0
Daytona,25,26,19, Martin Truex Jr,Bass Pro Shops / Tracker Boats & ATVs  (Joe Gibbs),Toyota,193,running,0,12,0
Daytona,26,2,24, William Byron,Axalta  (Rick Hendrick),Chevrolet,191,running,0,11,0
Daytona,27,29,8, Tyler Reddick,Lenovo  (Richard Childress),Chevrolet,188,running,0,10,0
Daytona,28,40,16, Kaz Grala,Hyper Ice  (Matthew Kaulig),Chevrolet,115,dvp,10,9,0
Daytona,29,33,0, Quin Houff,Mane 'N Tail  (StarCom Racing),Chevrolet,37,crash,0,8,0
Daytona,30,14,12, Ryan Blaney,Menards / Blue DEF / Peak  (Roger Penske),Ford,14,crash,0,7,0
Daytona,31,22,17, Chris Buescher,Fastenal / 3M  (Jack Roush),Ford,14,dvp,0,6,0
Daytona,32,36,38, Anthony Alfredo,Speedy Cash  (Bob Jenkins),Ford,14,dvp,0,5,0
Daytona,33,23,21, Matt DiBenedetto,Motorcraft / Quick Lane  (Wood Brothers),Ford,14,dvp,0,4,0
Daytona,34,3,10, Aric Almirola,Smithfield  (Stewart Haas Racing),Ford,13,crash,0,3,0
Daytona,35,1,48, Alex Bowman,Ally  (Rick Hendrick),Chevrolet,13,crash,1,2,0
Daytona,36,15,99, Daniel Suarez,iFly  (Trackhouse Racing),Chevrolet,13,crash,0,1,0
Daytona,37,18,36, David Ragan,Select Blinds  (Bob Jenkins),Ford,13,crash,0,1,0
Daytona,38,7,6, Ryan Newman,Kohler Generators  (Jack Roush),Ford,13,crash,0,1,0
Daytona,39,31,43, Erik Jones,Armor All  (Richard Petty Motorsports),Chevrolet,13,crash,0,1,0
Daytona,40,32,15, Derrike Cope,Jacob Companies  (Rick Ware),Chevrolet,3,crash,0,1,0
Daytona (Road),1,12,20, Christopher Bell,Rheem  (Joe Gibbs),Toyota,70,running,5,47,5
Daytona (Road),2,11,22, Joey Logano,Shell / Pennzoil  (Roger Penske),Ford,70,running,10,52,0
Daytona (Road),3,4,11, Denny Hamlin,FedEx Express  (Joe Gibbs),Toyota,70,running,5,52,1
Daytona (Road),4,17,1, Kurt Busch,Monster Energy  (Chip Ganassi),Chevrolet,70,running,2,48,0
Daytona (Road),5,15,2, Brad Keselowski,Discount Tire  (Roger Penske),Ford,70,running,0,39,0
Daytona (Road),6,5,4, Kevin Harvick,Mobil 1  (Stewart Haas Racing),Ford,70,running,0,33,0
Daytona (Road),7,34,16, A.J. Allmendinger,Hyperice  (Matthew Kaulig),Chevrolet,70,running,2,0,0
Daytona (Road),8,2,34, Michael McDowell,Fr8 Auctions  (Bob Jenkins),Ford,70,running,0,29,0
Daytona (Road),9,6,37, Ryan Preece,Kroger / Coca-Cola  (JTG-Daugherty Racing),Chevrolet,70,running,0,28,0
Daytona (Road),10,36,48, Alex Bowman,Ally  (Rick Hendrick),Chevrolet,70,running,0,27,0
Daytona (Road),11,30,17, Chris Buescher,Fastenal / MCR Safety  (Jack Roush),Ford,70,running,0,27,0
Daytona (Road),12,19,19, Martin Truex Jr,Bass Pro Shops / Tracker Boats & ATVs  (Joe Gibbs),Toyota,70,running,0,35,0
Daytona (Road),13,13,41, Cole Custer,Dixie Vodka  (Stewart Haas Racing),Ford,70,running,0,27,0
Daytona (Road),14,37,43, Erik Jones,Petty's Garage  (Richard Petty Motorsports),Chevrolet,70,running,0,23,0
Daytona (Road),15,27,12, Ryan Blaney,Menards / Libman  (Roger Penske),Ford,70,running,0,22,0
Daytona (Road),16,35,99, Daniel Suarez,iFly  (Trackhouse Racing),Chevrolet,70,running,2,21,0
Daytona (Road),17,26,10, Aric Almirola,Smithfield  (Stewart Haas Racing),Ford,70,running,0,20,0
Daytona (Road),18,16,47, Ricky Stenhouse Jr,Cottonelle  (JTG-Daugherty Racing),Chevrolet,70,running,0,19,0
Daytona (Road),19,38,96, Ty Dillon,Toyota Certified Used Vehicles  (Gaunt Brothers),Toyota,70,running,0,0,0
Daytona (Road),20,33,6, Ryan Newman,Castrol Carbon Neutral  (Jack Roush),Ford,70,running,0,17,0
Daytona (Road),21,1,9, Chase Elliott,NAPA Auto Parts  (Rick Hendrick),Chevrolet,70,running,44,31,1
Daytona (Road),22,31,38, Anthony Alfredo,The Pete Store  (Bob Jenkins),Ford,70,running,0,15,0
Daytona (Road),23,39,15, James Davison,Signing Day Sports  (Rick Ware),Chevrolet,70,running,0,14,0
Daytona (Road),24,20,77, Justin Haley,AirMed Care Network  (Spire Motorsports),Chevrolet,70,running,0,0,0
Daytona (Road),25,21,51, Cody Ware,Nurtec ODT  (Rick Ware),Chevrolet,70,running,0,0,0
Daytona (Road),26,10,23, Bubba Wallace,Door Dash  (23XI Racing),Toyota,70,running,0,11,0
Daytona (Road),27,25,53, Garrett Smithley,Clix Wipers  (Rick Ware),Chevrolet,70,running,0,0,0
Daytona (Road),28,28,78, Scott Heckert,Motorsport Games  (B.J. McLeod),Ford,70,running,0,9,0
Daytona (Road),29,40,66, Timmy Hill,CrashClaimsR.us  (Carl Long),Toyota,70,running,0,0,0
Daytona (Road),30,8,5, Kyle Larson,Nations Guard  (Rick Hendrick),Chevrolet,70,running,0,12,0
Daytona (Road),31,7,7, Corey LaJoie,Netflix / The Crew  (Spire Motorsports),Chevrolet,70,running,0,6,0
Daytona (Road),32,18,14, Chase Briscoe,Ford Performance Racing School  (Stewart Haas Racing),Ford,70,running,0,5,0
Daytona (Road),33,22,24, William Byron,Axalta  (Rick Hendrick),Chevrolet,69,running,0,8,0
Daytona (Road),34,3,3, Austin Dillon,Dow Mobility Science  (Richard Childress),Chevrolet,69,running,0,6,0
Daytona (Road),35,14,18, Kyle Busch,Interstate Batteries  (Joe Gibbs),Toyota,69,running,0,3,0
Daytona (Road),36,23,52, Josh Bilicki,Jacob Companies  (Rick Ware),Ford,68,brakes,0,1,0
Daytona (Road),37,32,21, Matt DiBenedetto,Motorcraft / Quick Lane  (Wood Brothers),Ford,65,running,0,1,0
Daytona (Road),38,24,8, Tyler Reddick,CAT Rental Store  (Richard Childress),Chevrolet,58,crash,0,1,0
Daytona (Road),39,9,42, Ross Chastain,McDonald's  (Chip Ganassi),Chevrolet,26,crash,0,1,0
Daytona (Road),40,29,0, Quin Houff,Mane 'N Tail  (StarCom Racing),Chevrolet,3,engine,0,1,0
Homestead,1,31,24, William Byron,Axalta  (Rick Hendrick),Chevrolet,267,running,102,57,6
Homestead,2,35,8, Tyler Reddick,Cheddar's Scratch Kitchen  (Richard Childress),Chevrolet,267,running,0,35,0
Homestead,3,9,19, Martin Truex Jr,Bass Pro Shops / Tracker Boats & ATVs  (Joe Gibbs),Toyota,267,running,37,49,0
Homestead,4,17,5, Kyle Larson,Nations Guard  (Rick Hendrick),Chevrolet,267,running,5,44,0
Homestead,5,4,4, Kevin Harvick,Busch Light  (Stewart Haas Racing),Ford,267,running,0,36,0
Homestead,6,6,34, Michael McDowell,Love's Travel Stops / Speedco  (Bob Jenkins),Ford,267,running,0,31,0
Homestead,7,23,6, Ryan Newman,Oscar Mayer Hot Dogs  (Jack Roush),Ford,267,running,0,30,0
Homestead,8,5,1, Kurt Busch,Monster Energy  (Chip Ganassi),Chevrolet,267,running,0,39,0
Homestead,9,13,48, Alex Bowman,Ally  (Rick Hendrick),Chevrolet,267,running,0,36,0
Homestead,10,24,18, Kyle Busch,M&M's Fudge Brownie  (Joe Gibbs),Toyota,267,running,0,27,0
Homestead,11,1,11, Denny Hamlin,Small Business Grant Contest  (Joe Gibbs),Toyota,267,running,0,35,0
Homestead,12,22,3, Austin Dillon,Bass Pro Shops / Tracker Off Road  (Richard Childress),Chevrolet,267,running,0,26,0
Homestead,13,15,47, Ricky Stenhouse Jr,Kroger / Tide Power Pods  (JTG-Daugherty Racing),Chevrolet,267,running,0,24,0
Homestead,14,11,9, Chase Elliott,NAPA Auto Parts  (Rick Hendrick),Chevrolet,267,running,4,26,0
Homestead,15,21,99, Daniel Suarez,Camping World  (Trackhouse Racing),Chevrolet,267,running,1,22,0
Homestead,16,7,2, Brad Keselowski,Dent Wizard  (Roger Penske),Ford,267,running,47,31,0
Homestead,17,32,42, Ross Chastain,Chevrolet Accessories  (Chip Ganassi),Chevrolet,267,running,0,20,0
Homestead,18,30,14, Chase Briscoe,Ford Performance Racing School  (Stewart Haas Racing),Ford,267,running,0,19,0
Homestead,19,12,17, Chris Buescher,Fastenal / Norton Saint-Gobain  (Jack Roush),Ford,267,running,57,33,1
Homestead,20,3,20, Christopher Bell,Rheem  (Joe Gibbs),Toyota,267,running,0,17,0
Homestead,21,8,37, Ryan Preece,Slim Jim  (JTG-Daugherty Racing),Chevrolet,267,running,0,16,0
Homestead,22,19,23, Bubba Wallace,Door Dash  (23XI Racing),Toyota,267,running,2,15,0
Homestead,23,10,41, Cole Custer,HaasTooling.com  (Stewart Haas Racing),Ford,267,running,0,14,0
Homestead,24,27,38, Anthony Alfredo,Dude Wipes  (Bob Jenkins),Ford,267,running,0,13,0
Homestead,25,2,22, Joey Logano,Shell / Pennzoil  (Roger Penske),Ford,267,running,12,16,0
Homestead,26,20,77, Justin Haley,Diamond Creek Water  (Spire Motorsports),Chevrolet,266,running,0,0,0
Homestead,27,18,43, Erik Jones,Armor All  (Richard Petty Motorsports),Chevrolet,266,running,0,10,0
Homestead,28,37,21, Matt DiBenedetto,Menards / Moen  (Wood Brothers),Ford,266,running,0,9,0
Homestead,29,14,12, Ryan Blaney,Dex Imaging  (Roger Penske),Ford,266,running,0,11,0
Homestead,30,16,10, Aric Almirola,Smithfield  (Stewart Haas Racing),Ford,264,running,0,7,0
Homestead,31,28,53, Garrett Smithley,KSDT CPA / Rich Mar Florist  (Rick Ware),Chevrolet,263,running,0,0,0
Homestead,32,26,51, Cody Ware,Nurtec ODT  (Rick Ware),Chevrolet,261,running,0,0,0
Homestead,33,36,52, Josh Bilicki,Jacob Companies  (Rick Ware),Ford,259,running,0,4,0
Homestead,34,34,78, B.J. McLeod,Traxion.gg / Motorsport Games  (B.J. McLeod),Ford,258,running,0,0,0
